"Astrocytes1" "Astrocytes2" "Endothelial1" "Endothelial2" "Microglia1" "Microglia2" "MO1" "MO2" "Neuron1" "Neuron2" "NFO1" "NFO2" "OPC1" "OPC2" "WC1" "WC2" "WC3"
"XLOC_000251" 204 126 159 84 252 294 378 324 174 143 235 271 189 219 54 107 0
"XLOC_000252" 189 204 0 54 84 126 378 324 252 219 235 294 107 271 159 174 143
"XLOC_000253" 174 126 54 0 378 324 84 143 159 235 219 294 271 107 252 204 189
"XLOC_000254" 204 378 107 189 0 54 126 252 235 159 143 219 174 84 271 294 324
"XLOC_000255" 378 324 143 84 107 0 54 159 189 174 235 126 294 204 252 219 271
"XLOC_000256" 54 0 143 107 174 84 159 189 219 324 235 126 252 204 294 378 271
"XLOC_000257" 159 0 143 54 324 378 84 252 271 107 174 294 204 235 189 126 219
"XLOC_000258" 174 204 294 324 107 54 271 252 0 84 378 235 219 126 143 159 189
"XLOC_000259" 252 235 107 126 54 0 324 294 219 271 378 189 204 84 159 143 174
"XLOC_000260" 0 54 324 378 107 159 84 143 219 204 126 174 189 235 271 294 252
"XLOC_000261" 219 126 204 235 294 378 324 271 189 174 143 252 84 159 54 0 107
"XLOC_000262" 235 252 271 294 324 378 0 54 204 219 84 143 126 159 189 107 174
"XLOC_000263" 204 252 126 0 271 378 174 324 219 159 294 235 189 107 84 54 143
"XLOC_000264" 378 271 0 54 252 324 294 235 174 159 204 189 84 219 107 143 126
"XLOC_000265" 84 54 107 0 159 126 189 252 143 174 324 378 271 294 204 235 219
"XLOC_000266" 0 54 252 235 204 219 378 324 189 143 294 271 159 174 84 126 107
"XLOC_000267" 0 235 54 84 107 126 143 159 271 252 189 174 204 219 324 378 294
"XLOC_000268" 324 378 143 204 54 0 159 84 126 189 235 107 294 271 174 252 219
"XLOC_000269" 0 54 324 378 84 107 126 143 159 174 189 204 219 235 294 271 252
"XLOC_000270" 324 378 0 54 189 84 271 107 159 126 294 219 204 143 235 252 174
"XLOC_000271" 252 294 0 54 84 324 378 219 107 126 271 143 159 174 189 235 204
"XLOC_000272" 174 219 54 0 107 126 84 143 189 235 204 159 378 324 252 294 271
"XLOC_000273" 294 271 0 54 107 84 235 252 126 143 378 324 219 204 159 189 174
"XLOC_000274" 159 107 294 252 378 324 271 204 0 84 235 219 174 54 143 126 189
"XLOC_000275" 204 219 107 126 54 0 252 235 324 294 378 271 174 84 143 159 189
"XLOC_000276" 126 107 189 159 378 324 0 174 219 143 84 54 294 204 235 271 252
"XLOC_000277" 294 324 107 0 378 252 84 54 204 219 174 189 271 235 159 143 126
"XLOC_000278" 271 252 107 84 54 0 378 324 126 143 294 235 204 219 189 174 159
"XLOC_000279" 204 143 107 174 378 324 0 159 54 294 126 84 189 235 252 219 271
"XLOC_000280" 126 107 54 159 0 84 189 143 378 324 235 204 174 219 294 271 252
"XLOC_000281" 0 143 107 159 189 174 126 235 252 294 54 84 219 204 271 324 378
"XLOC_000282" 159 84 252 271 378 294 54 189 0 235 143 324 107 219 204 126 174
"XLOC_000283" 378 294 219 159 84 107 0 54 189 324 143 126 204 174 271 252 235
"XLOC_000284" 174 0 54 84 107 126 271 294 143 219 235 252 324 378 204 189 159
"XLOC_000285" 378 324 143 0 159 54 84 107 189 219 174 126 271 204 252 235 294
"XLOC_000286" 54 143 271 126 324 378 252 235 219 0 174 189 84 294 159 204 107
"XLOC_000287" 378 324 174 189 159 204 0 143 294 252 54 107 126 84 219 235 271
"XLOC_000288" 378 324 0 54 84 107 126 143 294 252 159 174 189 204 235 219 271
"XLOC_000289" 271 378 174 0 126 324 294 235 107 143 204 219 252 189 84 54 159
"XLOC_000290" 107 126 84 54 0 159 143 174 271 235 252 294 324 378 204 219 189
"XLOC_000291" 378 324 159 84 0 219 54 126 143 174 107 204 235 189 252 294 271
"XLOC_000292" 271 294 107 143 378 324 84 54 0 174 159 126 252 189 204 219 235
"XLOC_000293" 0 54 189 84 252 107 126 219 235 271 174 143 159 204 324 378 294
"XLOC_000294" 294 204 378 324 252 126 143 54 159 271 189 235 174 219 107 0 84
"XLOC_000295" 0 271 54 84 107 126 143 294 159 174 324 378 235 189 204 252 219
"XLOC_000296" 252 235 54 0 294 271 219 143 324 378 189 126 84 107 174 204 159
"XLOC_000297" 378 324 189 204 107 0 84 54 219 252 294 235 271 159 143 126 174
"XLOC_000298" 324 294 143 174 159 54 0 84 378 252 271 107 235 126 189 204 219
"XLOC_000299" 252 219 294 271 378 324 107 189 126 235 174 0 204 159 54 84 143
"XLOC_000300" 294 252 107 84 54 0 159 174 189 324 378 143 271 126 204 235 219
"XLOC_000301" 252 271 378 324 294 174 84 0 189 204 219 54 235 107 159 126 143
"XLOC_000302" 159 174 84 107 54 0 126 143 324 378 189 204 294 271 252 219 235
"XLOC_000303" 0 189 219 143 54 84 107 126 324 294 204 159 235 174 271 252 378
"XLOC_000304" 252 324 143 159 0 54 378 294 219 189 271 204 235 84 174 126 107
"XLOC_000305" 0 54 84 294 324 378 107 126 143 159 174 189 271 204 219 252 235
